0,"[[1, 5633, 1428, 244, 5756, 1011, 4068, 3010, 1667, 3009, 333, 494, 4149, 1840, 3857, 3971, 4958, 5042, 2453, 1132, 1722, 1724, 1780, 2075, 2496, 2751, 3082, 4070, 4056, 4419, 5016, 4074, 4951, 5889, 5890, 234, 235, 237, 2675, 3492, 5880, 4202, 245, 4993, 2975, 1134, 5833, 5747, 1491, 2958, 29, 5635, 5885, 5029, 1312, 3840, 1097, 1946, 686, 3229, 4902, 1480, 4242, 161, 3285, 1501, 4550, 3346, 3354, 3367, 2933, 4979, 613, 1869, 1696, 1484, 1549, 3490, 5875, 5613, 725, 5677, 5708, 2423, 4376, 5673, 2087, 2318, 3835, 4198, 683, 1473, 2089, 2578, 2621, 3468, 3483, 4271, 4778, 5226, 5290, 5428, 1383, 2752, 3852, 3499, 4333, 1403, 2971, 5547, 1575, 1009, 5536, 519, 3518, 3795, 3910, 5464, 5792, 2220, 862, 90, 937, 1537, 4312, 4538, 2610, 1718, 5109, 2110, 731, 2168, 5736, 3813, 3814, 766, 2437, 4883, 5375, 2632, 3196, 432, 3271, 864, 4388, 5672, 3481, 1787, 50, 1801, 574, 278, 279, 2482, 2429, 419, 602, 635, 375, 597, 1024, 1898, 1982, 2293, 2831, 3566, 3667, 5001, 2234, 3524, 4287, 991, 1329, 897, 532, 185, 592, 190, 1970, 3817, 4888, 5595, 1499, 3820, 267, 667, 829, 1193, 1328, 1912, 2165, 4117, 5230, 1468, 397, 990, 1203, 1563, 2375, 3135, 3199, 3561, 3756, 3733, 3235, 2503, 2304, 2691, 3754, 3075, 2866, 4024, 4792, 4862, 4368, 2379, 1304, 1288, 1050, 870, 1298, 1056, 3928, 4592, 1384, 4537, 5199, 2378, 2974, 5543, 1293, 2189, 3657, 1745, 4769, 1800, 3358, 2363, 3890, 5228, 1441, 1533, 5693, 3060, 4367, 1090, 5922, 3730, 4065, 4145, 2540, 2903, 719, 4047, 5858, 5662, 792, 3107, 3323, 4107, 74, 291, 505, 641, 2494, 3022, 4132, 4600, 4604, 5097, 200, 5443, 2977, 1626, 3602, 4668, 431, 1630, 3099, 3617, 4029, 4510, 3824, 4921, 357, 924, 1183, 1806, 1987, 2243, 2625, 4031, 4925, 4930, 2801, 5469, 1182, 5791, 3745, 5856, 4027, 4044, 4140, 587, 811, 2267, 3919, 4026, 4724, 1314, 1833, 2772, 2865, 3736, 4246, 4601, 4602, 189, 1021, 1551, 1671, 2033, 2737, 2786, 3236, 3355, 3414, 3417, 3442, 3746, 3747, 4011, 4023, 4147, 4260, 4527, 5473, 97, 152, 423, 5641, 586, 685, 1311, 158, 5589, 861, 901, 1022, 1569, 1746, 1859, 2041, 2241, 2244, 2300, 2443, 3327, 3363, 5837, 3400, 3647, 3727, 3740, 5877, 3924, 4014, 4053, 4134, 5861, 4716, 5130, 5494, 5535, 1795, 2365, 1192, 1732, 1751, 2123, 3049, 3247, 4138, 5692, 3006, 3785, 4437, 4457, 4503, 5517, 93, 453, 859, 5453, 892, 2905, 1084, 1476, 1514, 1656, 1721, 1839, 1866, 1882, 2394, 2398, 2406, 2796, 2884, 2885, 2985, 3238, 3376, 3424, 4075, 5865, 4410, 4439, 5381, 2980, 2215, 2370, 1151, 1261, 99, 1001, 1802, 359, 3791, 3976, 2231, 5031, 1155, 4625, 1823, 856, 449, 1966, 4799, 5004, 5343, 3090, 2941, 3469, 922, 2336, 2823, 4108, 3514, 3515, 3778, 5859, 5445, 3821, 1322, 671, 1497, 2623, 1868, 4611, 2666, 4762, 3310, 860, 3984, 3257, 3200, 3211, 5041, 4977, 666, 2088, 2124, 3143, 3484, 3498, 3646, 3722, 2883, 186, 5652, 568, 622, 639, 1594, 2153, 2166, 2481, 2507, 3113, 4546, 4784, 4991, 27, 4371, 4390, 4400, 5513, 1048, 2726, 5821, 3351, 3519, 3906, 4498, 1727, 2530, 4860, 3335, 4055, 4423, 2966, 2330, 2302, 5026, 798, 3315, 1158, 3225, 5624, 2946, 2032, 4280, 4672, 4616, 5179, 5541, 4413, 5681, 4414, 4020, 973, 2227, 3368, 5171, 1111, 1562, 1612, 1768, 3877, 4207, 5505, 628, 5836, 2501, 1463, 4005, 148, 533, 1028, 1332, 1822, 2122, 3130, 3158, 3459, 3790, 5444, 5749, 972, 1488, 2490, 5261, 117, 194, 1171, 2352, 2999, 3361, 3487, 4018, 4123, 4881, 444, 705, 868, 1482, 1522, 1531, 1608, 3392, 3426, 3489, 4095, 5237, 4666, 1394, 5046, 3685, 5047, 5457, 4750, 4890, 5152, 4819, 5299, 2730, 5294, 5295, 556, 3830, 4332, 1797, 4318, 4899, 5422, 5831, 4059, 3901, 3134, 3448, 4405, 1669, 228, 3005, 3120, 3280, 3427, 3471, 3684, 4054, 4104, 5813, 5522, 3061, 1583, 1176, 133, 481, 2878, 2585, 2972, 2816, 3026, 2154, 2833, 3251, 4956, 2586, 3856, 3332, 4341, 2408, 4187, 4325, 3129, 354, 3014, 704, 4870, 2802, 4895, 5023, 750, 2502, 1439, 4168, 1600, 3167, 4790, 2544, 2793, 2263, 1622, 1992, 2230, 2538, 2014, 5630, 4615, 1566, 5209, 3593, 4603, 834, 5686, 2204, 2535, 2758, 4482, 2356, 2921, 3825, 881, 1289, 3092, 477, 865, 4340, 1429, 5008, 3899, 510, 1168, 1285, 1981, 2157, 2196, 4154, 5454, 1706, 2608, 3608, 149, 5690, 1705, 5744, 3752, 4581, 5208, 1108, 5694, 694, 695, 1875, 1969, 4197, 4344, 5207, 2596, 3154, 3553, 3563, 5373, 2811, 2901, 204, 579, 439, 4857, 5249, 1934, 5146, 572, 1520, 3565, 4182, 2223, 1971, 604, 1687, 4239, 119, 2125, 348, 4814, 2647, 2859, 2000, 4155, 4812, 5215, 76, 677, 5124, 251, 3344, 3783, 1069, 1362, 1560, 1818, 5733, 2371, 2396, 2723, 2761, 2987, 3004, 3164, 2142, 403, 3621, 2144, 2145, 3775, 3523, 4218, 4555, 932, 1662, 2046, 2746, 5544, 2928, 838, 1950, 2990, 3399, 4164, 4673, 4810, 5531, 1716, 2902, 4244, 86, 5735, 3383, 3734, 3774, 3998, 48, 679, 5754, 1161, 1162, 1539, 1796, 2705, 3178, 3698, 3923, 4153, 4196, 4952, 4986, 5266, 134, 288, 289, 1947, 876, 941, 981, 1102, 1347, 1694, 1935, 1939, 1940, 1952, 2361, 2416, 2506, 2579, 2581, 3071, 3221, 3338, 3366, 3458, 5840, 3521, 3582, 5851, 3697, 4158, 4169, 4183, 4302, 4664, 4889, 5105, 5156, 5223, 5511, 5614, 414, 4578, 744, 3308, 884, 3407, 4277, 5504, 820, 3577, 5305, 4580, 1782, 1783, 2731, 4658, 4727, 2433, 5170, 5715, 3210, 30, 4712, 2854, 3624, 5030, 905, 366, 700, 2562, 1784, 4731, 5502, 487, 1237, 2102, 4539, 4299, 525, 5629, 5086, 5187, 5214, 994, 4476, 5765, 5540, 5154, 2193, 35, 338, 755, 1037, 1350, 2030, 3413, 4713, 5280, 2747, 1180, 1728, 4362, 5487, 5446, 43, 684, 840, 1122, 1645, 4547, 5297, 4757, 3223, 1688, 1931, 11, 4847, 668, 268, 3973, 1116, 3042, 3538, 3539, 4533, 1133, 2825, 2797, 5726, 2851, 3050, 3601, 4901, 54, 874, 2104, 2557, 2817, 5136, 19, 5533, 166, 1382, 1378, 1379, 5809, 1415, 618, 5700, 2868, 42, 3794, 1353, 52, 1836, 5100, 5141, 57, 5174, 4916, 1205, 4381, 2210, 407, 4178, 3955, 5276, 508, 5277, 5075, 4087, 4411, 3600, 5415, 1536, 1014, 3876, 2997, 2835, 4375, 4529, 567, 3345, 4313, 447, 352, 817, 4252, 4357, 4431, 4634, 5317, 5485, 5667, 82, 4348, 2511, 2812, 2814, 2235, 2599, 3690, 3340, 5883, 2899, 2236, 75, 1324, 1915, 5729, 2238, 2400, 5065, 3837, 3921, 64, 1049, 5688, 2638, 2803, 3232, 3544, 4851, 5037, 5067, 5220, 5360, 5052, 2973, 2410, 3155, 1235, 2672, 4964, 3972, 2373, 3555, 5396, 1099, 2877, 3542, 5128, 3208, 2366, 3209, 5590, 5467, 5246, 790, 1452, 1951, 2098, 3184, 3136, 223, 3531, 3532, 4905, 3827, 5239, 5242, 2413, 415, 640, 2368, 2688, 2015, 4384, 3239, 3797, 3174, 5364, 2037, 5379, 4652, 5835, 1234, 4536, 1020, 1603, 1857, 2344, 4646, 59, 89, 1689, 4240, 752, 1199, 1410, 2521, 2745, 4653, 3115, 5819, 5598, 5298, 5438, 3926, 160, 3798, 5425, 969, 3453, 5160, 2083, 3496, 3537, 4062, 5147, 5168, 3067, 2682, 1114, 1570, 1127, 1253, 2719, 3989, 4647, 5539, 128, 5768, 53, 162, 578, 764, 785, 1423, 2026, 2708, 3844, 3948, 4471, 5000, 2712, 1005, 1672, 1983, 2149, 3148, 1172, 2372, 3375, 4454, 4633, 5523, 5332, 2113, 1169, 528, 4036, 2432, 3249, 1066, 1126, 3300, 5499, 5035, 23, 4295, 7, 2492, 464, 1317, 1964, 2025, 3047, 3606, 4106, 4133, 4559, 4584, 5463, 1044, 2944, 3018, 2992, 322, 742, 3039, 3776, 1012, 4972, 1059, 4743, 1506, 2105, 1650, 2769, 1013, 515, 949, 1960, 3140, 3812, 4829, 4830, 478, 880, 2809, 3815, 4997, 4998, 5148, 5437, 1343, 5331, 3679, 5734, 1605, 2333, 2324, 3423, 3796, 4274, 1556, 3654, 2497, 5353, 1477, 5805, 888, 2935, 198, 1325, 1339, 1498, 1712, 1762, 3562, 4093, 4321, 5616, 4805, 4950, 2460, 4485, 5775, 4669, 264, 2146, 5495, 4613, 5051, 4897, 2555, 205, 3773, 1955, 836, 2500, 3639, 3993, 653, 1771, 3588, 3101, 3292, 188, 1279, 3589, 1888, 293, 997, 873, 2922, 280, 313, 1997, 3086, 4328, 5009, 5060, 2583, 33, 345, 655, 1029, 5705, 1815, 5741, 2464, 2465, 2662, 2804, 3085, 3177, 1959, 3920, 5893, 1686, 2028, 3505, 5648, 4167, 1972, 4105, 2887, 451, 1121, 1179, 4871, 523, 2597, 3867, 107, 3021, 5227, 3013, 1740, 5704, 1364, 1470, 1664, 2911, 3782, 4151, 4217, 5418, 1153, 1436, 1525, 2568, 5468, 5895, 5896, 5897, 2449, 12, 163, 5763, 650, 753, 1000, 1166, 1408, 2476, 2665, 2898, 2914, 4111, 4120, 5015, 5534, 2186, 4264, 5898, 4776, 5771, 4677], ['疾', '淸晝', '皎然', '顏真卿', '李㟧', '張薦', '權德輿', '李適', '崔元翰', '李泌', '許孟容', '王紹', '楊於陵', '崔邠', '苗粲', '蔡廣成', '劉公濟', '陳京', '潘孟陽', '裴佶', '崔穉璋', '崔從質', '崔懿伯', '穆賞', '沈旣濟', '李謜', '李直方', '韋渠牟', '杜兼', '趙昌', '陸士修', '權器', '劉全白', '裴幼淸', '耿湋', '顏須', '顔顓', '顔峴', '左輔元', '韋介', '楊憑', '楊凝', '顔真卿', '陸羽', '李適之', '裴幼淸', '裴循', '裴濟', '盧幼平', '李縱', '齊翔', '淸晝', '王遘', '陸長源', '孟郊', '韓愈', '張籍', '白居易', '元稹', '李景儉', '劉猛', '盧貞', '楊巨源', '廣宣', '李益', '盧綸', '暢當', '韋應物', '韋端', '韋武', '李儋', '丘丹', '王卿', '幼遐', '崔倬', '盧嵩', '盧陟', '韋全真', '韓協', '恆璨', '元錫', '盧康', '崔播', '馮著', '趙伉', '君貺', '黎幹', '良史', '韓質', '楊凌', '元偉', '盧耿', '黎煟', '神靜', '滌武', '韋成緒', '韋辟彊', '朝宗', '巨川', '閻宷', '令狐彰', '鄭弘憲', '司空曙', '李端', '苗發', '吉中孚', '柳淡', '耿湋', '李永', '第五琦', '何兆', '張芬', '鄭錫', '王逵', '袁稠', '韓紳卿', '薛戴', '鄭宥', '衞象', '徐浩', '張調', '高勝', '張伯儀', '盧秦卿', '柳震', '曹桐椅', '渾瑊', '崔峒', '陳翊', '侯釗', '夏侯審', '包佶', '顧況', '韓滉', '韓绳', '天寶宮人', '顧從真', '劉太真', '錢起', '郎士元', '李敖', '王維', '李隆基', '張說', '趙冬曦', '尹懋', '韋嗣立', '崔泰之', '高戩', '崔日知', '王翰', '郭震', '郭震（字元振）', '梁知微', '源乾曜', '王琚', '王丘', '王光庭', '玉真公主', '王晙', '張均', '朱使欣', '魏元忠', '宇文融', '李重俊', '姚紹之', '蕭嵩', '陸景初', '徐堅', '袁暉', '胡皓', '張九齡', '孟浩然', '張子容', '王迥', '辛諤', '王昌齡', '辛漸', '皇甫岳', '韓士', '劉眘虛', '常建', '盧僎', '韓朝宗', '謝南池', '丁鳳', '賈昇', '裴朏', '孟洗然', '朱去非', '包融', '獨孤册', '閻防', '盧延讓', '王震', '張九皋', '裴耀卿', '盧懷慎', '宋鼎', '李林甫', '李日知', '姚崇', '蘇氏', '蘇頲', '李顯', '沈佺期', '安樂公主', '太平公主', '蘇味道', '李乂', '李嶠', '杜審言', '長寧公主', '劉憲', '趙彥昭', '宋之問', '武則天', '武三思', '張易之', '張元一', '武懿宗', '張昌宗', '薛曜', '田遊巖', '司馬承禎', '曹娘', '駱賓王', '宋之望', '李適', '鄭愔', '武平一', '徐彥伯', '蕭至忠', '崔湜', '馬懷素', '崔日用', '韋元旦', '宗楚客', '薛稷', '閻朝隱', '上官婉兒', '盧藏用', '岑羲', '李迥秀', '趙彥伯', '張錫', '上官倢伃', '蘇瓌', '權龍褒', '楊廉', '褚无量', '李白', '元丹丘', '杜甫', '揚旗', '高適', '哥舒翰', '李翥', '李少康', '獨孤峻', '高式顔', '郭微', '王之渙', '王悔', '沈千運', '李禕', '賀蘭進明', '畢抗', '呂諲', '陳希烈', '章彝', '鄭虔', '李之芳', '岑參', '封常淸', '嚴武', '王季友', '岑況', '李栖筠', '范季明', '杜鴻漸', '威賁', '韓樽', '劉晏', '許恩', '張獻誠', '裴冕', '崔圓', '魏昇卿', '鮮于晉', '祁樂', '杜希望', '劉顒', '劉單', '李瑀', '鄭審', '裴虬', '衞伯玉', '蘇源明', '杜位', '杜宗武', '杜觀', '柏茂琳', '王擒', '賈至', '房琯', '薛據', '杜宗文', '阿段', '孟雲卿', '崔公輔', '李璡', '李邕', '蘇撰', '楊氏', '畢曜', '畢耀', '辛昇之', '張旭', '盧岳', '崔頊', '吳南卿', '李文嶷', '李元嬰', '李曛', '韋諷', '韋濟', '韋之晉', '韋迢', '蘇換', '蘇渙', '杜穎', '杜濟', '楊譚', '楊炎', '曹霸', '鄭潛曜', '席謙', '唐旻', '王承俊', '王潛', '王契', '元結', '孟彥深', '唐節', '党曄', '張望', '張玠', '張堉', '何邕', '崔潩', '斛斯融', '吳郁', '徐知道', '鮮于仲通', '宇文晁', '顧戒奢', '李光弼', '韋班', '韋偃', '韋續', '花敬定', '蘇端', '蘇纓', '華蓋君', '薛景仙', '杜佐', '杜驥子', '賀蘭銛', '楊子琳', '阮昉', '陽濟', '鄭賁', '鄭鍊', '崔成甫', '宗氏', '裴隱', '崔宗之', '崔渙', '殷淑', '李凝', '李昭', '賀知章', '岑勛', '李祇', '韓雲卿', '趙炎', '史欽', '輔翼', '鄭晏', '高鎭', '王嵩', '張謂', '鄭伯璵', '張孟熊', '張垍', '張鎬', '盧虛舟', '盧鴻', '崔文', '崔叔封', '崔欽', '儲邕', '仲濬', '宋若思', '宋陟', '汪倫', '李雲', '李皓', '李幼成', '李良', '李曄', '韋子春', '韋冰', '權昭夷', '楊利物', '趙蕤', '中孚', '錢少陽', '李憲', '徐安貞', '宋璟', '裴漼', '孫逖', '席豫', '張嘉貞', '崔國輔', '許景先', '韓休', '蔡孚', '徐晶', '陸堅', '裴迪', '曇興', '崔興宗', '張諲', '王縉', '皇甫冉', '劉方平', '陸邃', '普門', '李嘉祐', '李紓', '韋損', '張繼', '竇叔向', '李豫', '獨孤皇后', '袁傪', '袁慘', '樊晃', '權驊', '鄭豐', '韓翃', '孟休鑒', '元誅', '盧象', '祖詠', '儲光羲', '呂向', '道虬', '馬挺', '李範', '張諤', '綦毋潛', '李頎', '李墨卿', '李回', '陳章甫', '丘爲', '丁寓', '黎昕', '殷遙', '李楫', '韋陟', '韋恆', '苑咸', '慕容承', '李勉', '辛霽', '元載', '王韞秀', '王鉅', '王恆', '虞說', '鄔載', '包何', '梁鍠', '沈沖', '李勸', '曹鈞', '長孫繹', '陸珽', '齊映', '趙元陽', '趙縱', '趙涓', '鄭損', '張擢', '李方', '李叔度', '韋廣', '袁修', '薛存誠', '挺贇', '崔寧', '法振', '劉濟', '李恆', '杜羔', '趙氏', '李寧', '竇鞏', '宇文籍', '陸暢', '雲安公主', '李餘', '裴淑', '李景信', '崔鶯鶯', '李復禮', '吳士矩', '胡靈之', '嚴綬', '呂炅', '周隱客', '鄭餘慶', '趙嘏', '盧弘止', '韋瓘', '杜牧', ' 張祜', '徐希仁', '韋瓘', '周墀', '裴誼', '盧簡求', '師一', '崔荆', '薛鼎臣', '楊太真', '鄭模', '王鐸', '裴儔', '沈傳師', '盧霈', '杜顗', '唐持', '王逢', '張好好', '孟遲', '崔郾', '殷潛之', '李甘', '李中敏', '韋楚老', '韓綽', '鄭處誨', '李珏', '張濆', '盧緘', '沈詢', '滕邁', '庾及之', '辛丘度', '裴垍', '竇晦之', '李顧言', '韋夏卿女', '韋丹', '杜歸和', '如展', '劉太白', '王師範', '元樊', '張正甫', '盧經濟', '盧士衍', '盧戡', '熊士登', '韋臧文', '韋叢', '韋貫之', '林蘊', '歐陽詹', '嚴震', '邵楚萇', '陳翊', '蕭存', '陳詡', '鄭儋', '馬逢', '劉頗', '周師範', '劉禹錫', '令狐楚', '李商隱', '令狐絢', '令狐綯', '王茂元', '韓瞻', '柳枝', '崔戎', '柳仲郢', '劉蕡', '鄭亞', '裴衡', '杜悰', '薛逢', '李蘊', '韋壽', '趙晳', '崔珏', '袞師', '李潘', '李執方', '李閬之', '韋潘', '韋蟾', '蕭澣', '杜勝', '獨孤雲', '令狐緒', '鄭畋', '李逢吉', '行式', '裴夷直', '唐仁烈', '王繢', '李德裕', '溫庭筠', '李永', '李羽', '李遠', '魚玄機', '李億', '李郢', '劉谷', '盧岵', '苗紳', '李炎', '柳公權', '汪遵', '楊收', '柳宗元', '李世民', '許敬宗', '李治', '元萬頃', '劉禕之', '李弘', '劉孝孫', '陸敬', '于志寧', '沈叔安', '上官儀', '楊師道', '虞世南', '李泰', '長孫無忌', '褚遂良', '李百藥', '房玄齡', '岑文本', '魏徵', '徐惠', '褚亮', '吳武陵', '呂溫', '呂恭', '何元上', '段弘古', '戴簡', '呂讓', '賈鵬', '重巽', '徐俊', '浩初', '李靖', '婁圖南', '竇常', '李程', '韓泰', '張賈', '武元衡', '李吉甫', '王仲周', '張正一', '柳公綽', '毛干', '陸達', '薛濤', '王良會', '裴堪', '武譚', '魏正則', '鄒儒立', '徐放', '楊弘微', '鄭絪', '崔備', '鴻舉', '董侹', '唐扶', '盧徵', '崔侑', '溫造', '蘇景胤', '田順郎 ', '段平仲', '裴度', '崔玄亮', '元宗筒', '元宗簡', '牛僧孺', '皇甫曙', '楊汝士', '柳棠', '段文昌', '溫會', '李敬伯', '姚康', '姚向', '錢徽', '李建', '李紳', '章孝標', '王播', '王行周', '劉從周', '鑒玄', '白行簡', '周元範', '王起', '盧肇', '姚鵠', '楊歸厚', '徐凝', '皇甫鏞', '王質夫', '崔羣', '楊嗣復', '庾敬休', '殷堯藩', '許渾', '劉瑑', '道玄', '李師晦', '魏扶', '楊發', '劉三復', '段覺', '高蔓', '元孚', '陳陶', '譚用之', '韋廑', '韓襄', '張厚', '邢羣', '盧鈞', '崔鄲', '房千里', '宋邧', '宋申錫', '李彥佐', '李詡', '李定言', '李叢', '李夷簡', '鮑溶', '王璠', '范傳正', '范傳真', '范傳質', '樊宗憲', '袁都', '楊攀', '契盈', '張仲方', '崔韶', '吳丹', '李諒', '舒元輿', '李仍叔', '賈餗', '白敏中', '李宗閔', '韋縝', '楊虞卿', '嚴休復', '劉敦質', '鄭俞', '崔龜從', '李純', '楊氏', '高郢', '馮宿', '韋處厚', '蘇弘', '樊宗師', '杜元穎', '高瑀', '元集虛', '張仲素', '裴洽', '裴潾', '盧拱', '崔咸', '南卓', '李播', '蕭悅', '薛景文', '楊弘貞', '楊漢公', '劉翕習', '尉遲汾', '金鑾子', '唐衢', '郭虛舟', '郭行餘', '于季友', '張可績', '張殷衡', '張渾', '張愔', '鄧魴', '崔能', '白崔兒', '白幼文', '白龜兒', '自遠', '宗實', '馮定', '沈述師', '神照', '湘靈', '李道樞', '李昂', '李忱', '韋弘景', '韋楚', '吉皎', '袁滋', '韜光', '蕭俛', '蕭籍', '楊瓊', '楊穎士', '楊魯士', '胡杲', '嚴謨', '劉真', '陳式五', '周皓', '關盼盼', '鄭據', '恆寂', '王建', '田弘正', '于汝錫', '李愬', '張弘靖', '韋皋', '胡証（胡證）', '鄭權', '賈島', '姚合', '無可', '田羣', '崔杞', '崔𣏌', '李廓', '默然', '厲玄', '顧非熊', '周賀', '朱慶餘', '李回', '方千', '喻鳧', '李頻', '范酇', '陸肱', '張喬', '許棠', '元遂', '淸越', '崔櫓', '厲圖南', '鄭薰', '王龜', '孫發', '侯溫', '曹松', '胡汾', '王渢', '呂述', '陳永', '陶詳', '段成式', '張希復', '惠中', '昇上人', '鄭符', '周繇', '徐商', '方郜', '許牘', '于丹', '張晝', '鄧芮', '吳道隱', '韋郜', '喻坦之', '翁洮', '李褎', '裴素', '崔之仁', '狄兼謨', '鄭澣', '鄭巢', '高元裕', '元緒', '不疑', '裴弘泰', '任畹', '費冠卿', '令狐定', '馬戴', '李景章', '崔邵', '白石', '雍陶', '劉得仁', '丁居晦', '謝觀', '蔡京', '裴璋', '李洞', '栖白', '棲白', '曹鄴', '裴休', '李羣玉', '李玭', '魏珪', '李虞', '李凝', '封敖', '劉駕', '高仁厚', '張霞', '侯圭', '淸演', '李羽', '覺公', '齊己', '鄭谷', '文秀', '司空圖', '瞀光', '𧦬光', '陳子昂', '喬知之', '王無競', '崔融', '李崇嗣', '高正臣', '韓仲宣', '弓嗣初', '高瑾', '崔知賢', '陳嘉言', '周彥暉', '高嶠', '周思鈞', '劉蛻', '冀珪', '趙貞固', '徐夤', '王延彬', '楊贊圖', '黃滔', '翁承贊', '王審知', '翁承檢', '陳嶠', '林寬', '趙觀文', '封渭', '鄭諴', '盧攜', '張茂樞', '薛能', '李福', '李倍', '趙璘', '曹確', '王駕', '韋序', '柳玭', '王貞白', '許彬', '賈嵩', '楊夔', '狄歸昌', '趙光裔', '圓昉', '無本', '鄭溵', '孫魴', '高輦', '乾晝', '沈彬', '李逢勳', '李璟', '徐鉉', '湯悅', '蕭彧', '李煜', '周娥皇', '李仲宣', '鍾謨', '高越', '孟賓于', '朱觀', '徐憲', '徐鍇', '江文蔚', '陳致雍', '韓熙載', '薛彧', '高遠', '張易', '喬匡舜', '游簡言', '李弘冀', '李景達', '彭芮', '劉奐', '陳彥', '陳喬', '印粲', '鍾蒨', '陳元裕', '李家明', '馮延巳', '李中', '孫霽', '左偃', '劉鈞', '蔡文慶', '宋維', '姚端', '智謙', '張惟貞', '李德潤', '彭仁', '陳銳', '李昇', '宋齊丘', '李昪', '尙顔', '鄭準', '貫微', '可準', '虛中', '自牧', '修睦', '李咸用', '李坤載', '玄泰', '來鵠', '來鹏', '劉松', '韓蛻', '歐陽彬', '貫休', '馮巖', '王建', '王慥', '宋震', '大願', '吳融', '趙崇', '李曄', '韓偓', '李冉', '錢元璫', '吳越失姓名人', '錢鏐', '羅隱', '裴德符', '孫玉汝', '曹圭', '張坤', '處默', '臧濆', '寶潏', '羅紹威', '高崇節', '高駢', '崔致遠', '楊贍', '于蘊玉', '裴饒', '喬詡', '沈光', '李讓夷', '李儇', '李蔚', '無照', '常修', '令狐渙', '鄭璘', '薛貽矩', '廣利', '韓惺', '鄭元規', '張爲', '韋莊', '周寶', '歸藹', '韋銀娘', '栖一', '桂雍', '周璉', '周朴', '李裕', '大潙', '裴說', '何崇', '裴羽仙', '孫徽', '赤松', '葉蒙', '羅鄴', '鄭鎰', '唐禀', '曇域', '高季興', '廣濟', '王振', '无願', '西蟾', '雙泉', '吳守明', '南雅', '華頂', '黃平素', '惠空', '陸龜蒙', '皮日休', '張賁', '崔璞', '魏璞', '鳥窠禪師', '李穀', '裴坦', '宋垂文', '韋承貽', '史拱', '圓載', '鄭璧', '羊昭業', '殷文圭', '裴贄', '王渙', '杜荀鶴', '顧雲', '李昭象', '張曙', '裴瓚', '李鐔', '鄭蕘', '體休', '節大德', '胡遇', '龐嚴', '沈亞之', '王參', '孟融', '皇甫荀', '吳之問', '李溟', '董武', '獨孤崇', '賀蘭朋吉', '唯貞', '田穎', '鄭從志', '張蠙', '李絳', '李渤', '李涉', '施肩吾', '于鵠', '李暹', '樊澤', '張蕭遠', '丘儒', '張署', '馬總', '盧汀', '侯喜', '崔立之', '李正封', '張蒙', '王涯', '張徹', '皇甫湜', '李賀', '韓湘', '劉師服', '劉師命', '王仲舒', '張賈', '李礎', '韓昶', '陸傪', '陸參', '周君巢', '鄭羣', '孟簡', '羊士諤', '蕭祜', '竇羣', '熊孺登', '竇牟', '竇庠', '韋渠牟', '韓皐', '郄昂', '盧仝', '蕭慶中', '沈師魯', '含曦', '盧虔', '李觀', '張建封', '李翱', '章仇良', '孟寂', '孟郢', '盧殷', '崔純亮', '崔爽', '姚怤', '林藻', '柳淳', '悟空', '劉言史', '劉叉', '潘述', '秦系', '劉長卿', '嚴維', '謝良輔', '鮑防', '鄭槪', '呂渭', '陳元初', '劉蕃', '淸江', '章八元', '樊珣', '皇甫政', '賈弇', '沈仲昌', '范燈', '杜奕', '靈一', '崔載華', '戴叔倫', '李圻', '李兼', '辛巢父', '孫會', '耿湋', '朱放', '郭良', '張南史', '張夏', '李穆', '郭夏', '郭廈', '魏萬成', '李希烈', '柳渾', '陸澧', '陳羽', '溫商', '方外', '許法稜', '靈祐', '張起', '崔真甫', '崔昭', '凈虛', '梁耿', '梁乘', '道標', '李延陵', '李希言', '李揆', '皇甫溫', '薛播', '張薦', '崔子向', '吳馮', '袁高', '靈澈', '楊衡', '皇甫會', '獨孤及', '李幼卿', '王崟', '裴冀', '裴冑先', '劉造', '王遘', '湯衡', '薛誼', '康造', '李洪', '閻士和', '李冶', '崔逵', '淸畫', '邢濟', '盧孟明', '崔論', '李伯宜', '韓章', '楊頊', '楊華', '鄭說', '裴淸', '維諒', '盧士關', '淸會', '鄭容', '王遘', '齊翔', '巨川', '澄', '塵外', '廣通', '曹原椅', '豆盧次方', '于頔', '張志和', '裴樞', '重鈞', '梁肅', '道素', '李仲宣', '李皋', '獨孤汜', '如獻', '陸士佳', '鄭谷', '從心', '均', '盧藻', '巨川', '淸畫', '嚴伯均']]"
1,"[[87, 3940, 1120, 2174], ['高周封', '菅原道真', '裴頲', '島田忠臣']]"
2,"[[102, 126, 104], ['應德茂', '唐彥謙', '應浩然']]"
3,"[[154, 1075], ['唐暄', '張氏']]"
4,"[[175, 4561], ['文茂', '晁采']]"
5,"[[219, 5334], ['玄逵', '義淨']]"
6,"[[344, 4944], ['許宗憲', '劉隱辭']]"
7,"[[378, 1034], ['王主敬', '張敬忠']]"
8,"[[435, 436, 2834, 3831], ['王衍', '王仁裕', '李舜弦', '韓昭']]"
9,"[[473, 5010], ['王緯', '陸渭']]"
