id1,id2,weight
17,181368,4
17,82913,2
17,152573,2
17,75794,1
17,154417,3
17,45583,1
62,153704,1
114,168337,1
114,168343,1
138,6146,1
138,6904,1
138,11991,1
138,22043,1
138,23436,1
138,24265,1
138,35408,2
138,58101,1
138,62302,2
138,73038,1
138,74054,2
138,76635,1
138,76880,1
138,80420,1
138,87721,1
138,90908,1
138,96573,1
138,133203,1
138,148797,1
138,154161,1
138,173830,2
330,100909,1
330,7510,1
357,182495,1
357,92250,1
357,147336,1
374,48467,1
374,172820,1
409,146489,1
424,72724,1
430,71870,1
430,84364,1
464,409,1
464,430,1
464,2083,1
464,3541,2
464,4904,7
464,5009,1
464,5721,3
464,5740,1
464,5860,1
464,6358,2
464,6403,1
464,6492,1
464,6531,1
464,6586,1
464,6592,1
464,7171,1
464,8716,1
464,8738,1
464,12889,1
464,15129,1
464,16733,2
464,181748,1
464,22504,1
464,23508,2
464,23669,2
464,23721,4
464,24265,3
464,37267,1
464,182075,14
464,38228,1
464,182099,1
464,41346,1
464,181391,1
464,43326,1
464,45533,2
464,45583,1
464,48479,1
464,48491,4
464,48647,1
464,52694,1
464,62302,2
464,69959,4
464,72360,1
464,72372,1
464,72751,2
464,73583,1
464,73633,4
464,1141,1
464,75823,1
464,79231,1
464,82880,1
464,183012,1
464,83088,1
464,84364,6
464,85200,1
464,85282,1
464,86618,1
464,1291,1
464,88115,2
464,93515,1
464,97304,1
464,100347,1
464,102679,2
464,105638,1
464,118747,2
464,123090,1
464,125908,4
464,127443,2
464,129595,1
464,129616,1
464,129622,1
464,129649,2
464,130263,1
464,133203,1
464,118074,2
464,143277,1
464,143500,1
464,144631,1
464,144650,7
464,146728,2
464,146762,1
464,148160,2
464,148523,1
464,183483,3
464,150666,1
464,154397,1
464,164009,1
464,164292,2
464,166428,2
464,166679,1
464,167432,1
464,167799,1
464,168069,1
464,168331,1
464,170946,4
464,170987,1
464,170994,4
464,172278,5
464,172655,1
464,174373,1
464,174425,1
464,177409,1
464,179052,17
464,1897,1
464,1901,2
464,180785,1
464,180802,6
2051,79178,1
2057,71450,1
2057,181450,3
2057,501538,3
2057,100382,3
2057,56277,3
2083,3265,2
2083,3350,1
2083,4705,1
2083,6758,1
2083,7981,1
2083,9126,1
2083,9132,2
2083,9204,1
2083,9216,1
2083,11781,1
2083,12796,1
2083,15085,5
2083,15671,3
2083,22901,1
2083,23310,2
2083,23518,1
2083,24265,1
2083,25937,1
2083,25943,1
2083,32547,2
2083,37462,5
2083,37492,1
2083,38152,1
2083,38159,1
2083,42946,2
2083,48952,1
2083,48966,1
2083,48966,1
2083,56889,2
2083,61659,1
2083,72346,1
2083,72383,1
2083,72808,2
2083,73719,5
2083,76622,1
2083,76635,1
2083,78649,1
2083,79399,1
2083,83490,1
2083,85206,1
2083,87446,1
2083,89665,1
2083,93571,1
2083,94262,6
2083,109379,1
2083,112267,1
2083,112824,1
2083,115225,1
2083,115799,2
2083,118747,4
2083,120356,1
2083,120454,2
2083,132539,1
2083,141887,1
2083,143327,1
2083,144683,1
2083,145189,1
2083,146417,1
2083,181351,3
2083,152944,7
2083,153159,2
2083,159710,1
2083,159939,1
2083,500335,1
2083,167446,3
2083,167512,1
2083,167635,1
2083,167799,1
2083,168705,1
2083,169351,3
2083,169463,1
2083,169962,3
2083,172326,1
2083,172642,1
2083,173830,1
2083,3074,1
2083,177808,1
2083,178034,1
2083,180580,1
2083,180666,1
3259,175351,1
3290,181866,1
3356,59338,1
3356,124490,2
3356,168146,1
3356,3480,1
3356,42971,2
3356,3520,2
3356,16047,1
3356,76093,1
3356,154473,1
3356,501550,1
3356,87254,1
3356,167563,2
3356,168134,2
3356,3587,2
3356,160281,1
3356,169228,2
3356,11983,1
3356,500312,2
3356,74324,1
3356,501560,1
3376,166477,1
3424,97304,1
3424,116852,1
3443,128796,1
3480,3356,1
3480,59338,1
3520,59338,2
3520,3356,2
3569,164235,1
3587,3356,2
3621,160196,1
4720,4745,1
4720,182495,1
4720,92250,1
4720,147336,1
4755,16325,1
4755,169064,1
4786,105086,1
4822,29486,1
4890,172333,1
4904,100347,1
4933,128336,1
4939,4745,1
5009,17527,1
5009,17879,1
5009,102611,1
5009,103586,1
5009,128580,1
5009,148455,1
5118,28139,1
5149,133203,2
5158,59338,1
5166,26474,2
5166,110199,3
5221,167364,1
5277,7510,1
5357,79412,1
5357,110199,1
5357,183763,1
5357,183681,1
5382,100169,1
5382,155372,1
5382,62302,1
5382,141893,1
5500,59602,1
5500,130373,1
5554,2083,1
5554,5228,2
5554,5243,2
5554,5707,1
5554,5745,1
5554,6555,1
5554,7195,1
5554,12790,1
5554,55288,1
5554,500633,1
5554,107490,1
5554,112347,1
5554,115769,1
5554,124161,1
5554,125088,1
5554,145183,1
5554,167426,1
5849,107853,1
5849,172508,1
5911,28366,1
5911,183942,1
5911,82103,1
5994,104010,1
6018,152905,1
6018,178428,1
6062,16325,1
6062,169064,1
6092,33125,2
6128,95774,1
6146,16325,1
6146,97222,4
6146,112778,4
6146,178058,1
6146,111571,6
6146,136650,2
6592,500841,1
6635,150619,1
6635,181149,1
6693,107853,1
6700,43558,1
6700,91203,1
6700,183754,1
6700,16902,1
6736,14971,1
6752,33285,1
6758,44528,1
6758,115626,1
6758,124061,1
6758,136605,1
6758,177429,1
6904,4847,1
6904,5382,1
6904,7177,1
6904,16742,2
6904,18639,1
6904,19128,1
6904,32211,1
6904,38315,1
6904,41121,1
6904,182618,2
6904,61632,1
6904,81671,1
6904,96682,3
6904,102300,1
6904,152469,1
6904,155173,1
6904,159108,1
6904,159737,1
6904,160767,1
6904,164250,1
6904,167383,1
6904,172432,1
6904,172474,1
6904,500514,1
6904,175431,2
7102,152000,1
7157,122191,1
7360,180747,1
7360,147436,1
7397,100909,1
7397,7510,1
7417,100909,1
7417,7510,2
7434,100909,1
7434,7510,2
7451,105086,1
7457,7459,1
7457,7510,2
7474,7510,1
7481,100909,1
7481,7510,1
7510,45583,1
7510,85158,1
7510,100909,1
7510,138554,1
7510,150362,1
7510,164009,2
7510,163331,3
7510,501573,1
7510,32002,9
7510,73101,1
7510,39892,1
7510,121679,1
7510,14937,1
7510,72043,1
7510,15116,1
7510,7457,2
7510,87682,2
7510,160429,1
7510,7481,1
7510,140716,1
7510,117408,2
7510,45583,20
7510,56075,1
7510,146517,1
7510,164009,8
7510,138466,1
7510,165947,7
7510,501593,3
7510,144401,1
7510,330,1
7510,7434,2
7510,7417,2
7510,7397,1
7510,183353,15
7510,83100,2
7510,138466,3
7510,501455,2
7510,141457,2
7510,501604,3
7510,165909,1
7510,71850,1
7510,58021,1
7510,117650,2
7510,71450,2
7510,73944,1
7510,122960,1
7510,501613,1
7510,5277,1
7510,86281,1
7510,78694,1
7510,7474,1
7510,500137,1
7510,78687,1
7510,144401,1
7823,29675,1
7823,150369,1
7823,174795,1
7888,52817,1
7888,138720,1
7888,146466,1
7888,167799,2
8001,160053,1
8008,141621,1
8014,77033,1
8044,152000,1
8052,152000,6
8160,11787,1
8160,147330,1
8207,111571,1
8207,116775,1
8207,24265,1
8237,87862,1
8237,92872,1
8237,102092,1
8333,500312,1
8396,133203,1
8447,55282,1
8478,121951,1
8483,61438,2
8517,165888,1
8517,160196,1
8517,117769,1
8517,56616,1
8517,501626,1
8629,28211,1
8629,115669,1
8738,8021,1
8738,19128,1
8738,182561,1
8738,72699,1
8738,88060,1
8738,93012,1
8738,121635,1
8738,183838,1
8738,139592,1
8738,183596,1
8738,177631,1
8738,178162,1
8738,178750,1
9003,166664,1
9039,38399,1
9039,136878,1
9169,97304,1
9180,9021,1
9216,3376,1
9216,4847,2
9216,8560,1
9216,8985,1
9216,11077,1
9216,11775,1
9216,15079,1
9216,16742,1
9216,181745,1
9216,18796,1
9216,18873,2
9216,22427,1
9216,23323,1
9216,29675,1
9216,33065,2
9216,500700,1
9216,500719,2
9216,183854,1
9216,39865,1
9216,43060,2
9216,45277,1
9216,52528,2
9216,183945,1
9216,53056,1
9216,182503,1
9216,56848,1
9216,57863,1
9216,57875,1
9216,58061,1
9216,58974,2
9216,59094,1
9216,59594,1
9216,59823,1
9216,60856,1
9216,182618,1
9216,62083,1
9216,62302,1
9216,69991,1
9216,72237,3
9216,73779,1
9216,74054,3
9216,74496,1
9216,75131,1
9216,75749,1
9216,182907,2
9216,80659,2
9216,81367,1
9216,81495,2
9216,81563,1
9216,81896,1
9216,83688,1
9216,84502,1
9216,84974,1
9216,183870,1
9216,87402,4
9216,181348,1
9216,181349,1
9216,89721,2
9216,91023,1
9216,91169,1
9216,92331,2
9216,183192,2
9216,94024,1
9216,94856,4
9216,97304,1
9216,101259,2
9216,101669,2
9216,102477,1
9216,103196,1
9216,106656,2
9216,109373,1
9216,112708,1
9216,115225,1
9216,115663,1
9216,116115,1
9216,117894,2
9216,118056,1
9216,127884,1
9216,128788,1
9216,131071,1
9216,131115,2
9216,136725,1
9216,140009,1
9216,140191,3
9216,140301,1
9216,141132,1
9216,141693,2
9216,141729,1
9216,141893,1
9216,142018,1
9216,143220,1
9216,143698,1
9216,148807,2
9216,148828,1
9216,10510,1
9216,155244,3
9216,155285,5
9216,159615,1
9216,500134,1
9216,165806,1
9216,169773,1
9216,169927,1
9216,170228,3
9216,172432,1
9216,173817,1
9216,174380,1
9216,174413,1
9216,178210,1
9216,178294,1
9216,178664,1
9216,180476,1
9216,180505,1
9216,180764,1
10780,183192,1
10780,97304,1
10837,148914,1
10842,102092,5
10842,105086,20
10842,118023,1
10842,140554,1
10842,160449,2
10842,166054,2
10842,146233,1
10842,23202,2
10842,53451,1
10842,83864,1
10842,52700,1
10842,177660,1
10842,33089,1
10842,26159,1
10842,166079,1
11028,102092,1
11041,26474,1
11041,110199,2
11090,77033,1
11120,9027,1
11120,10780,1
11120,11107,1
11120,22245,2
11120,28551,1
11120,83533,1
11120,85206,1
11120,89634,1
11120,94262,1
11120,104929,1
11120,107500,1
11120,109587,1
11120,127953,1
11120,133196,1
