id1,id1Pre,Name1,id2,id2Pre,Name2,wight
1946,62302,白居易,686,19128,元稹,172
5000,164292,陸龜蒙,2712,88142,皮日休,152
1946,62302,白居易,4819,155372,劉禹錫,120
4819,155372,劉禹錫,5299,173134,令狐楚,65
864,26474,張說,3271,110199,李隆基,59
1946,62302,白居易,1108,34682,裴度,43
1946,62302,白居易,5694,182491,崔玄亮,36
2585,85418,溫庭筠,2972,100650,李永,35
1946,62302,白居易,694,22043,元宗筒,31
1946,62302,白居易,695,22043,元宗簡,31
1946,62302,白居易,1875,60507,牛僧孺,31
1946,62302,白居易,1969,71258,皇甫曙,30
1946,62302,白居易,4197,141175,楊汝士,30
1946,62302,白居易,5373,175431,錢徽,29
4047,133203,杜甫,5858,501097,揚旗,29
991,30694,張九齡,3271,110199,李隆基,28
3346,113061,韋應物,3354,114803,韋端,28
2503,83875,沈佺期,3235,107853,李顯,27
3075,103653,李乂,3235,107853,李顯,27
2866,95187,李嶠,3235,107853,李顯,25
1428,45583,皎然,244,7510,顏真卿,23
1428,45583,皎然,245,7510,顔真卿,23
4862,159748,劉憲,3235,107853,李顯,23
1946,62302,白居易,2811,93012,李建,22
1946,62302,白居易,2901,96682,李紳,21
2730,89787,李商隱,5294,172977,令狐絢,21
2730,89787,李商隱,5295,172977,令狐綯,21
3346,113061,韋應物,3367,115147,韋武,21
354,10842,許敬宗,3129,105086,李世民,20
1329,41346,孟浩然,897,28379,張子容,20
3733,123250,蘇頲,3235,107853,李顯,20
3733,123250,蘇頲,3271,110199,李隆基,20
4047,133203,杜甫,5662,181940,高適,20
4819,155372,劉禹錫,2878,95774,李德裕,20
994,31326,張希復,4476,146769,惠中,19
994,31326,張希復,5214,169962,段成式,18
2712,88142,皮日休,1005,31699,張賁,18
3840,126119,韓愈,1097,33347,張籍,18
4368,144877,趙彥昭,3235,107853,李顯,18
19,464,齊己,5533,179052,鄭谷,17
432,13017,王維,3271,110199,李隆基,17
2379,80758,宋之問,3235,107853,李顯,17
432,13017,王維,1155,36115,裴迪,16
244,7510,顏真卿,5756,183353,李㟧,15
1501,49552,盧綸,4550,148617,暢當,15
1946,62302,白居易,1097,33347,張籍,15
1946,62302,白居易,1934,62127,白行簡,15
1946,62302,白居易,5146,168188,周元範,15
3940,129521,菅原道真,1120,35445,裴頲,15
3955,129721,黃滔,5276,172655,翁承贊,15
19,464,齊己,5667,182075,孫魴,14
1097,33347,張籍,414,11991,王建,14
1946,62302,白居易,572,16325,王起,14
2210,76150,徐夤,407,11870,王延彬,14
2752,91203,李端,1383,43558,司空曙,14
2903,97304,李白,719,22522,元丹丘,14
4068,136878,權德輿,1011,32002,張薦,14
1312,39953,孟郊,3840,126119,韓愈,13
1428,45583,皎然,4993,164009,陸羽,13
1946,62302,白居易,4182,140841,楊歸厚,13
2223,76635,徐凝,1946,62302,白居易,13
2379,80758,宋之問,1304,39585,武則天,13
2752,91203,李端,3852,127542,苗發,13
3577,118747,姚合,820,24265,賈島,13
4047,133203,杜甫,200,6825,章彝,13
4047,133203,杜甫,2903,97304,李白,13
4047,133203,杜甫,5443,177826,鄭虔,13
4325,143768,柳宗元,4819,155372,劉禹錫,13
